county,Date,Date,Confirmed Covid Patients,Suspected Covid Patinets,Confirmed Covid ICU Patients,ICU suspected COVID Patients,ICU Beds Available
Santa Clara,September,2020-09-30,132.0,28.0,51.0,4.0,120.0
Shasta,April,2020-04-30,8.0,11.0,4.0,3.0,28.0
Shasta,August,2020-08-31,9.0,2.0,4.0,1.0,33.0
Shasta,July,2020-07-31,10.0,3.0,3.0,2.0,21.0
Shasta,June,2020-06-30,10.0,3.0,2.0,5.0,12.0
Shasta,March,2020-03-31,1.0,5.0,1.0,0.0,13.0
Shasta,May,2020-05-31,1.0,1.0,1.0,0.0,17.0
Shasta,October,2020-10-16,10.0,5.0,2.0,0.0,9.0
Shasta,September,2020-09-30,8.0,6.0,3.0,1.0,16.0
Siskiyou,April,2020-04-30,2.0,5.0,0.0,2.0,6.0
Siskiyou,August,2020-08-31,1.0,2.0,1.0,1.0,6.0
Siskiyou,July,2020-07-31,4.0,3.0,1.0,1.0,13.0
Siskiyou,June,2020-06-30,1.0,3.0,1.0,1.0,6.0
Siskiyou,March,2020-03-31,0.0,0.0,0.0,0.0,4.0
Siskiyou,May,2020-05-31,1.0,3.0,0.0,2.0,7.0
Siskiyou,October,2020-10-16,0.0,1.0,0.0,0.0,10.0
Siskiyou,September,2020-09-30,1.0,1.0,0.0,0.0,10.0
Solano,April,2020-04-30,18.0,25.0,9.0,24.0,62.0
Solano,August,2020-08-31,50.0,20.0,19.0,4.0,10.0
Solano,July,2020-07-31,57.0,20.0,20.0,4.0,45.0
Solano,June,2020-06-30,41.0,25.0,13.0,5.0,53.0
Solano,March,2020-03-31,15.0,27.0,6.0,5.0,47.0
Solano,May,2020-05-31,21.0,37.0,11.0,6.0,61.0
Solano,October,2020-10-16,31.0,23.0,7.0,4.0,13.0
Solano,September,2020-09-30,37.0,24.0,10.0,4.0,11.0
Sonoma,April,2020-04-30,8.0,28.0,2.0,7.0,64.0
Sonoma,August,2020-08-31,48.0,17.0,16.0,4.0,12.0
Sonoma,July,2020-07-31,60.0,24.0,22.0,6.0,55.0
Sonoma,June,2020-06-30,11.0,76.0,7.0,10.0,92.0
Sonoma,March,2020-03-31,8.0,22.0,3.0,5.0,29.0
Sonoma,May,2020-05-31,9.0,56.0,4.0,10.0,60.0
Sonoma,October,2020-10-16,34.0,8.0,11.0,2.0,11.0
Sonoma,September,2020-09-30,38.0,14.0,13.0,3.0,12.0
Stanislaus,April,2020-04-30,35.0,45.0,14.0,9.0,100.0
Stanislaus,August,2020-08-31,223.0,65.0,60.0,8.0,38.0
