,Area_Name,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
362,Escondido city,01/01/2020,2020,January,67500,2200,0.031
363,Esparto CDP,01/01/2020,2020,January,1800,100,0.048
364,Eureka city,01/01/2020,2020,January,12100,500,0.036000000000000004
365,Exeter city,01/01/2020,2020,January,4200,500,0.10800000000000001
366,Fairfax town,01/01/2020,2020,January,4600,100,0.022000000000000002
367,Fairfield city,01/01/2020,2020,January,51400,2100,0.039
368,Fair Oaks CDP,01/01/2020,2020,January,14600,400,0.026000000000000002
369,Fairview CDP,01/01/2020,2020,January,5200,100,0.015
370,Fallbrook CDP,01/01/2020,2020,January,13900,400,0.031
371,Fall River Mills CDP,01/01/2020,2020,January,100,0,0.0
372,Farmersville city,01/01/2020,2020,January,4400,700,0.132
373,Farmington CDP,01/01/2020,2020,January,0,0,0.0
374,Fellows CDP,01/01/2020,2020,January,0,0,0.111
375,Felton CDP,01/01/2020,2020,January,2100,200,0.084
376,Ferndale city,01/01/2020,2020,January,600,0,0.015
377,Fetters Hot Springs Agua Caliente CDP,01/01/2020,2020,January,2500,0,0.013000000000000001
378,Fillmore city,01/01/2020,2020,January,7000,200,0.033
379,Firebaugh city,01/01/2020,2020,January,3300,500,0.135
380,Florence Graham CDP,01/01/2020,2020,January,26500,1700,0.06
381,Florin CDP,01/01/2020,2020,January,19200,1400,0.067
382,Folsom city,01/01/2020,2020,January,36600,1000,0.026000000000000002
383,Fontana city,01/01/2020,2020,January,96200,3600,0.036000000000000004
384,Foothill Farms CDP,01/01/2020,2020,January,14600,600,0.040999999999999995
385,Ford City CDP,01/01/2020,2020,January,1700,200,0.096
386,Foresthill CDP,01/01/2020,2020,January,700,0,0.028999999999999998
387,Forest Meadows CDP,01/01/2020,2020,January,510,40,0.078
388,Forestville CDP,01/01/2020,2020,January,2000,100,0.034
389,Fort Bragg city,01/01/2020,2020,January,2970,150,0.047
390,Fortuna city,01/01/2020,2020,January,4900,200,0.035
391,Foster City city,01/01/2020,2020,January,19900,400,0.02
392,Fountain Valley city,01/01/2020,2020,January,27500,800,0.028999999999999998
393,Fowler city,01/01/2020,2020,January,2800,200,0.061
394,Frazier Park CDP,01/01/2020,2020,January,1100,100,0.09300000000000001
395,Freedom CDP,01/01/2020,2020,January,1700,200,0.092
396,Fremont city,01/01/2020,2020,January,117100,3200,0.027000000000000003
397,French Camp CDP,01/01/2020,2020,January,1100,100,0.07200000000000001
398,Fresno city,01/01/2020,2020,January,220000,13500,0.057999999999999996
399,Friant CDP,01/01/2020,2020,January,200,0,0.138
400,Fullerton city,01/01/2020,2020,January,68400,2000,0.028999999999999998
401,Furnace Creek CDP,01/01/2020,2020,January,120,0,0.009000000000000001
402,Galt city,01/01/2020,2020,January,11100,800,0.069
403,Gardena city,01/01/2020,2020,January,29400,1400,0.046
404,Garden Acres CDP,01/01/2020,2020,January,4100,400,0.092
405,Garden Grove city,01/01/2020,2020,January,79200,2600,0.031
406,Georgetown CDP,01/01/2020,2020,January,1100,100,0.083
407,Gilroy city,01/01/2020,2020,January,29600,1100,0.035
408,Glendale city,01/01/2020,2020,January,101000,4300,0.040999999999999995
409,Glendora city,01/01/2020,2020,January,25500,1100,0.04
410,Glen Ellen CDP,01/01/2020,2020,January,500,0,0.0
411,Golden Hills CDP,01/01/2020,2020,January,4300,200,0.040999999999999995
412,Gold River CDP,01/01/2020,2020,January,3300,100,0.043
413,Goleta City,01/01/2020,2020,January,16300,400,0.021
414,Gonzales city,01/01/2020,2020,January,3800,100,0.019
415,Goshen CDP,01/01/2020,2020,January,1300,200,0.11199999999999999
416,Graeagle CDP,01/01/2020,2020,January,180,20,0.091
