county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Sacramento,4/22/20,316,63,63,63,
San Benito,4/22/20,67,61,,,
San Bernardino,4/22/20,50,37,20,,20
San Diego,4/22/20,2029,409,44,44,
San Francisco,4/22/20,1328,729,,,
San Joaquin,4/22/20,,,,,
San Luis Obispo,4/22/20,154,,14,14,
San Mateo,4/22/20,134,85,,,
Santa Barbara,4/22/20,85,,,,
Santa Clara,4/22/20,575,230,105,105,
Santa Cruz,4/22/20,27,20,35,,
Shasta,4/22/20,20,,,,
Sierra,4/22/20,,,,,
Siskiyou,4/22/20,,,,,
Solano,4/22/20,,,,,
Sonoma,4/22/20,45,45,,,
Stanislaus,4/22/20,121,19,,,
Sutter,4/22/20,16,16,,,
Tehama,4/22/20,,,,,
Trinity,4/22/20,,,,,
Tulare,4/22/20,56,,,,
Tuolumne,4/22/20,,,,,
Ventura,4/22/20,398,275,,,
Yolo,4/22/20,246,206,,,
Yuba,4/22/20,41,18,,,
Alameda ,4/23/20,403,346,91,91,
Alpine ,4/23/20,,,,,
Amador ,4/23/20,,,,,
Butte ,4/23/20,87,87,,,
Calaveras ,4/23/20,75,20,,,
Colusa ,4/23/20,,,,,
Contra Costa ,4/23/20,340,129,,,
Del Norte ,4/23/20,,,,,
El Dorado ,4/23/20,26,,,,
Fresno ,4/23/20,305,250,28,28,
Glenn ,4/23/20,,,,,
Humboldt,4/23/20,44,11,15,,
Imperial ,4/23/20,36,,37,,
Inyo ,4/23/20,,,,,
Kern ,4/23/20,,,15,15,
Kings ,4/23/20,,,,,
Lake ,4/23/20,15,,,,
Lassen ,4/23/20,,,,,
Los Angeles ,4/23/20,3292,1054,658,649,
Madera ,4/23/20,,,,,
Marin ,4/23/20,132,96,44,,
Mariposa ,4/23/20,44,12,,,
Mendocino ,4/23/20,146,107,,,
Merced ,4/23/20,,,,,
Modoc ,4/23/20,,,,,
Mono ,4/23/20,48,,,,
Monterey ,4/23/20,142,,108,15,
Napa ,4/23/20,104,48,18,,
Nevada ,4/23/20,27,,,,
Orange ,4/23/20,275,81,78,78,
Placer ,4/23/20,32,32,12,,
Plumas ,4/23/20,,,,,
Riverside ,4/23/20,422,303,15,15,
Sacramento ,4/23/20,316,63,63,63,
San Benito ,4/23/20,67,40,,,
San Bernardino ,4/23/20,50,37,20,,20
San Diego ,4/23/20,2029,409,44,44,
San Francisco,4/23/20,1328,809,91,59,
San Joaquin ,4/23/20,,,,,
San Luis Obispo ,4/23/20,154,,14,14,
San Mateo ,4/23/20,136,92,,,
Santa Barbara ,4/23/20,98,34,,,
Santa Clara ,4/23/20,615,243,105,105,
Santa Cruz ,4/23/20,27,19,35,,
Shasta ,4/23/20,20,,,,
Sierra ,4/23/20,,,,,
Siskiyou ,4/23/20,,,,,
Solano ,4/23/20,,,,,
Sonoma ,4/23/20,45,45,,,
Stanislaus ,4/23/20,121,19,,,
Sutter ,4/23/20,16,16,,,
Tehama ,4/23/20,,,,,
Trinity ,4/23/20,,,,,
Tulare ,4/23/20,56,,,,
Tuolumne,4/23/20,,,,,
Ventura ,4/23/20,388,258,,,
Yolo ,4/23/20,246,212,,,
Yuba ,4/23/20,30,17,,,
Alameda,4/24/20,385,344,91,91,
Alpine ,4/24/20,,,,,
Amador,4/24/20,,,,,
Butte,4/24/20,89,89,,,
Calaveras,4/24/20,75,20,,,
Colusa,4/24/20,,,,,
Contra Costa,4/24/20,340,129,,,
Del Norte,4/24/20,,,,,
El Dorado,4/24/20,26,,,,
Fresno,4/24/20,305,250,28,28,
Glenn ,4/24/20,,,,,
Humboldt,4/24/20,44,11,15,,
Imperial,4/24/20,36,,37,,
Inyo,4/24/20,,,,,
Kern,4/24/20,,,15,15,
Kings,4/24/20,,,,,
Lake ,4/24/20,15,,,,
Lassen,4/24/20,,,,,
Los Angeles,4/24/20,3292,1054,658,649,
Madera,4/24/20,20,20,,,
Marin ,4/24/20,132,96,44,,
Mariposa,4/24/20,44,13,,,
Mendocino,4/24/20,149,110,,,
Merced,4/24/20,85,34,,,
Modoc,4/24/20,,,,,
Mono ,4/24/20,48,,,,
Monterey,4/24/20,142,,108,15,
Napa,4/24/20,104,52,18,,
Nevada,4/24/20,50,16,,,
Orange,4/24/20,275,86,78,78,
Placer,4/24/20,32,32,12,,
Plumas,4/24/20,,,,,
Riverside,4/24/20,422,303,15,15,
Sacramento,4/24/20,276,105,63,63,
San Benito,4/24/20,67,43,,,
San Bernardino,4/24/20,50,37,20,,20
San Diego,4/24/20,2029,409,44,44,
San Francisco,4/24/20,1434,864,91,91,
San Joaquin,4/24/20,,,,,
San Luis Obispo,4/24/20,155,,14,14,
San Mateo,4/24/20,139,100,,,
Santa Barbara,4/24/20,98,37,,,
Santa Clara,4/24/20,660,243,105,105,
Santa Cruz,4/24/20,27,20,35,,
Shasta ,4/24/20,20,,,,
Sierra,4/24/20,,,,,
Siskiyou,4/24/20,,,,,
Solano ,4/24/20,,,,,
Sonoma,4/24/20,45,45,,,
Stanislaus,4/24/20,123,52,,,
Sutter,4/24/20,16,16,,,
Tehama,4/24/20,,,,,
Trinity,4/24/20,,,,,
Tulare,4/24/20,56,,,,
Tuolumne,4/24/20,,,,,
Ventura,4/24/20,388,266,,,
Yolo,4/24/20,246,212,,,
Yuba,4/24/20,30,17,,,
Alameda County,4/25/20,385,344,91,91,
Alpine County,4/25/20,,,,,
Amador County,4/25/20,,,,,
Butte County,4/25/20,89,89,,,
Calaveras County,4/25/20,73,25,,,
Colusa County,4/25/20,,,,,
Contra Costa County,4/25/20,340,129,,,
Del Norte County,4/25/20,,,,,
El Dorado County,4/25/20,26,,,,
Fresno County,4/25/20,305,250,28,28,
Glenn County,4/25/20,,,,,
Humboldt County,4/25/20,44,11,15,,
Imperial County,4/25/20,36,,37,,
Inyo County,4/25/20,,,,,
Kern County,4/25/20,,,15,15,
Kings County,4/25/20,,,,,
Lake County,4/25/20,15,,,,
Lassen County,4/25/20,,,,,
Los Angeles County,4/25/20,3292,1054,658,649,
Madera County ,4/25/20,20,20,,,
Marin County ,4/25/20,132,96,44,,
Mariposa County,4/25/20,44,13,,,
Mendocino County,4/25/20,149,110,,,
Merced County,4/25/20,85,34,,,
Modoc County,4/25/20,,,,,
Mono County,4/25/20,48,,,,
Monterey County,4/25/20,142,,108,15,
Napa County ,4/25/20,104,52,18,,
Nevada County ,4/25/20,50,16,,,
Orange County,4/25/20,275,86,78,78,
Placer County,4/25/20,73,26,12,,
Plumas County,4/25/20,,,,,
Riverside County,4/25/20,422,303,15,15,
Sacramento County,4/25/20,276,121,63,63,
San Benito County,4/25/20,67,40,,,
San Bernardino County,4/25/20,50,37,20,,20
San Diego County,4/25/20,2029,409,44,44,
San Francisco,4/25/20,1434,873,91,91,
San Joaquin County,4/25/20,,,,,
San Luis Obispo County,4/25/20,155,,14,14,
San Mateo County,4/25/20,140,100,,,
Santa Barbara County,4/25/20,98,37,,,
Santa Clara County,4/25/20,660,243,105,105,
Santa Cruz County,4/25/20,27,20,35,,
Shasta County,4/25/20,20,,,,
Sierra County,4/25/20,,,,,
Siskiyou County,4/25/20,,,,,
Solano County,4/25/20,,,,,
Sonoma County,4/25/20,45,45,,,
Stanislaus County,4/25/20,123,52,,,
Sutter County,4/25/20,16,16,,,
Tehama County,4/25/20,,,,,
Trinity County,4/25/20,,,,,
Tulare County,4/25/20,56,,,,
Tuolumne County,4/25/20,,,,,
Ventura County,4/25/20,388,266,,,
Yolo County,4/25/20,246,212,,,
Yuba County,4/25/20,39,18,,,
Wilton Rancheria,4/25/20,,,,,
Alameda County,4/26/20,385,354,91,91,
Alpine County,4/26/20,,,,,
Amador County,4/26/20,,,,,
Butte County,4/26/20,98,98,,,
Calaveras County,4/26/20,73,25,,,
Colusa County,4/26/20,,,,,
Contra Costa County,4/26/20,340,129,,,
Del Norte County,4/26/20,,,,,
El Dorado County,4/26/20,26,,,,
Fresno County,4/26/20,305,250,28,28,
Glenn County,4/26/20,,,,,
Humboldt County,4/26/20,44,11,15,,
Imperial County,4/26/20,36,,37,,
Inyo County,4/26/20,,,,,
Kern County,4/26/20,,,15,15,
Kings County,4/26/20,,,,,
Lake County,4/26/20,15,,,,
Lassen County,4/26/20,,,,,
Los Angeles County,4/26/20,3292,1099,658,649,
Madera County ,4/26/20,20,20,,,
Marin County ,4/26/20,132,96,44,,
Mariposa County,4/26/20,44,13,,,
Mendocino County,4/26/20,150,111,,,
Merced County,4/26/20,85,34,,,
Modoc County,4/26/20,,,,,
Mono County,4/26/20,48,,,,
Monterey County,4/26/20,142,,108,15,
Napa County ,4/26/20,104,52,18,,
Nevada County ,4/26/20,50,16,,,
Orange County,4/26/20,275,86,78,78,
Placer County,4/26/20,73,26,12,,
Plumas County,4/26/20,,,,,
Riverside County,4/26/20,422,303,15,15,
Sacramento County,4/26/20,276,121,63,63,
San Benito County,4/26/20,67,46,,,
San Bernardino County,4/26/20,50,37,20,,20
San Diego County,4/26/20,2029,409,44,44,
San Francisco,4/26/20,1431,874,91,91,
San Joaquin County,4/26/20,,,,,
San Luis Obispo County,4/26/20,155,,14,14,
San Mateo County,4/26/20,140,100,,,
Santa Barbara County,4/26/20,96,44,,,
Santa Clara County,4/26/20,660,243,105,105,
Santa Cruz County,4/26/20,27,21,35,,
Shasta County,4/26/20,20,,,,
Sierra County,4/26/20,,,,,
Siskiyou County,4/26/20,,,,,
Solano County,4/26/20,,,,,
Sonoma County,4/26/20,45,45,,,
Stanislaus County,4/26/20,123,52,,,
Sutter County,4/26/20,16,16,,,
Tehama County,4/26/20,,,,,
Trinity County,4/26/20,,,,,
Tulare County,4/26/20,56,,,,
Tuolumne County,4/26/20,,,,,
